2024-02-14 13:39:28 Updating the configuration and installing your custom providers, if any. Please wait.
2024-02-14 13:40:48 2024-02-14 04:40:48,059 INFO  [io.quarkus.deployment.QuarkusAugmentor] (main) Quarkus augmentation completed in 65695ms
2024-02-14 13:41:00 2024-02-14 04:40:51,649 INFO  [org.keycloak.quarkus.runtime.hostname.DefaultHostnameProvider] (main) Hostname settings: Base URL: <unset>, Hostname: <request>, Strict HTTPS: false, Path: <request>, Strict BackChannel: false, Admin URL: <unset>, Admin: <request>, Port: -1, Proxied: false
2024-02-14 13:41:01 2024-02-14 04:41:01,721 WARN  [io.quarkus.agroal.runtime.DataSources] (main) Datasource <default> enables XA but transaction recovery is not enabled. Please enable transaction recovery by setting quarkus.transaction-manager.enable-recovery=true, otherwise data may be lost if the application is terminated abruptly
2024-02-14 13:41:06 2024-02-14 04:41:06,421 WARN  [org.infinispan.PERSISTENCE] (keycloak-cache-init) ISPN000554: jboss-marshalling is deprecated and planned for removal
2024-02-14 13:41:06 2024-02-14 04:41:06,715 INFO  [org.infinispan.CONTAINER] (keycloak-cache-init) ISPN000556: Starting user marshaller 'org.infinispan.jboss.marshalling.core.JBossUserMarshaller'
2024-02-14 13:41:07 2024-02-14 04:41:07,221 INFO  [org.infinispan.CLUSTER] (keycloak-cache-init) ISPN000088: Unable to use any JGroups configuration mechanisms provided in properties {}. Using default JGroups configuration!
2024-02-14 13:41:07 2024-02-14 04:41:07,910 INFO  [org.infinispan.CLUSTER] (keycloak-cache-init) ISPN000078: Starting JGroups channel `ISPN`
2024-02-14 13:41:07 2024-02-14 04:41:07,913 INFO  [org.jgroups.JChannel] (keycloak-cache-init) local_addr: 42306a20-b469-4594-a4cc-eef100662513, name: 53238ef5ebfc-36250
2024-02-14 13:41:07 2024-02-14 04:41:07,923 WARN  [org.jgroups.protocols.UDP] (keycloak-cache-init) JGRP000015: the send buffer of socket MulticastSocket was set to 1MB, but the OS only allocated 212.99KB
2024-02-14 13:41:07 2024-02-14 04:41:07,924 WARN  [org.jgroups.protocols.UDP] (keycloak-cache-init) JGRP000015: the receive buffer of socket MulticastSocket was set to 20MB, but the OS only allocated 212.99KB
2024-02-14 13:41:07 2024-02-14 04:41:07,925 WARN  [org.jgroups.protocols.UDP] (keycloak-cache-init) JGRP000015: the send buffer of socket MulticastSocket was set to 1MB, but the OS only allocated 212.99KB
2024-02-14 13:41:07 2024-02-14 04:41:07,925 WARN  [org.jgroups.protocols.UDP] (keycloak-cache-init) JGRP000015: the receive buffer of socket MulticastSocket was set to 25MB, but the OS only allocated 212.99KB
2024-02-14 13:41:07 2024-02-14 04:41:07,952 INFO  [org.jgroups.protocols.FD_SOCK2] (keycloak-cache-init) server listening on *.41955
2024-02-14 13:41:12 2024-02-14 04:41:12,398 INFO  [org.infinispan.CLUSTER] (keycloak-cache-init) ISPN000094: Received new cluster view for channel ISPN: [6d617897bd5b-40981|1] (2) [6d617897bd5b-40981, 53238ef5ebfc-36250]
2024-02-14 13:41:12 2024-02-14 04:41:12,455 INFO  [org.infinispan.CLUSTER] (keycloak-cache-init) ISPN000079: Channel `ISPN` local address is `53238ef5ebfc-36250`, physical addresses are `[172.18.0.5:57491]`
2024-02-14 13:41:12 2024-02-14 04:41:12,526 WARN  [org.infinispan.CONFIG] (keycloak-cache-init) ISPN000569: Unable to persist Infinispan internal caches as no global state enabled
2024-02-14 13:41:13 2024-02-14 04:41:13,472 INFO  [org.infinispan.LIFECYCLE] (jgroups-13,53238ef5ebfc-36250) [Context=org.infinispan.PERMISSIONS] ISPN100002: Starting rebalance with members [6d617897bd5b-40981, 53238ef5ebfc-36250], phase READ_OLD_WRITE_ALL, topology id 2
2024-02-14 13:41:13 2024-02-14 04:41:13,620 INFO  [org.infinispan.LIFECYCLE] (non-blocking-thread--p2-t5) [Context=org.infinispan.PERMISSIONS] ISPN100010: Finished rebalance with members [6d617897bd5b-40981, 53238ef5ebfc-36250], topology id 2
